Campaign,Location,Criterion Type
Izmir Cekirdek - Arama,"İzmir,Turkey",Location
Izmir Cekirdek - Arama,"Konak,İzmir,Turkey",Location
Izmir Cekirdek - Arama,"Karşıyaka,İzmir,Turkey",Location
Izmir Cekirdek - Arama,"Bornova,İzmir,Turkey",Location
Izmir Cekirdek - Arama,"Buca,İzmir,Turkey",Location
Izmir Cekirdek - Arama,"Çiğli,İzmir,Turkey",Location
Izmir Cekirdek - Arama,"Balçova,İzmir,Turkey",Location
Izmir Cekirdek - Arama,"Narlıdere,İzmir,Turkey",Location
Izmir Cekirdek - Arama,"Güzelbahçe,İzmir,Turkey",Location
Izmir Cekirdek - Arama,"Gaziemir,İzmir,Turkey",Location
Izmir Cekirdek - Arama,"Karabağlar,İzmir,Turkey",Location
Izmir Cekirdek - Arama,"Bayraklı,İzmir,Turkey",Location
Izmir Cekirdek - Arama,"Urla,İzmir,Turkey",Location
Izmir Cekirdek - Arama,"Çeşme,İzmir,Turkey",Location
