Öğe Türü,Alan 1,Alan 2,Alan 3,Final URL
Site bağlantısı,Fiyat Listesi,Manikür 650 ₺'den başlar,Ulaşım ve malzeme dahil,https://www.fleura.com.tr/izmir-protez-tirnak-fiyatlari
Site bağlantısı,Tüm Hizmetler,"Kalıcı oje, protez, manikür","Pedikür, rus manikürü, nail art",https://www.fleura.com.tr/hizmetler
Site bağlantısı,Evde Tırnak Hizmeti,"Ev, ofis, otel ve villa",Ekipman bizimle gelir,https://www.fleura.com.tr/izmir-evde-tirnak-hizmeti
Site bağlantısı,Gelin Tırnağı,Provalı çalışma,Düğün günü uygulama,https://www.fleura.com.tr/izmir-gelin-tirnagi
Site bağlantısı,Belgelerimiz,Sertifika ve belgeler,Hijyen standartlarımız,https://www.fleura.com.tr/belgelerimiz
Site bağlantısı,İletişim / Randevu,WhatsApp ve telefon,Pzt-Cmt 10:00-20:00,https://www.fleura.com.tr/iletisim
Açıklama metni (callout),Evinize gelen nail artist,,,
Açıklama metni (callout),Ekipman ve malzeme dahil,,,
Açıklama metni (callout),Tek kullanımlık malzeme,,,
Açıklama metni (callout),Otoklavda steril aletler,,,
Açıklama metni (callout),"Ev, ofis, otel ve villa",,,
Açıklama metni (callout),Pzt-Cmt 10:00-20:00,,,
Açıklama metni (callout),WhatsApp'tan randevu,,,
Açıklama metni (callout),Şeffaf sabit fiyat,,,
Açıklama metni (callout),"Türkçe, İngilizce, Rusça",,,
Açıklama metni (callout),Nakit veya havale,,,
Yapılandırılmış snippet,Başlık: Hizmetler,Kalıcı oje,,
Yapılandırılmış snippet,Başlık: Hizmetler,Protez tırnak,,
Yapılandırılmış snippet,Başlık: Hizmetler,Rus manikürü,,
Yapılandırılmış snippet,Başlık: Hizmetler,Manikür,,
Yapılandırılmış snippet,Başlık: Hizmetler,Pedikür,,
Yapılandırılmış snippet,Başlık: Hizmetler,Nail art,,
Yapılandırılmış snippet,Başlık: Hizmetler,Gelin tırnağı,,
Yapılandırılmış snippet,Başlık: Hizmetler,Protez tırnak dolumu,,
Arama (telefon) öğesi,+90 555 890 35 11,Yalnızca 10:00-20:00 arası gösterilsin,,
Konum öğesi,Google Business Profile bağla,Hizmet alanı işletmesi — adres gizlensin,,
Fiyat öğesi,Manikür + Kalıcı Oje | 1.150 ₺,Manikür + Protez + Oje | 1.500 ₺,Pedikür + Kalıcı Oje | 1.250 ₺,https://www.fleura.com.tr/izmir-protez-tirnak-fiyatlari
