Row Type,Action,Keyword status,Level,Campaign,Negative keyword,Type
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,kurs,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,eğitim,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,sertifika programı,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,akademi,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,öğren,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,ders,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,kendim yapmak,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,kendi kendine,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,evde kendim,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,nasıl yapılır,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,yapımı,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,tarifi,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,adım adım,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,iş ilanı,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,eleman,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,personel,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,eleman aranıyor,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,maaş,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,kariyer,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,iş başvurusu,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,staj,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,işe alım,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,part time,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,yarı zamanlı,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,malzeme,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,toptan,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,satın al,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,sipariş,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,kargo,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,mağaza,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,ürün,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,set fiyatı,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,başlangıç seti,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,uv lamba,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,led lamba,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,freze makinesi,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,tırnak kalıbı,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,tips,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,yapıştırıcı,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,sticker,Phrase match
Negative keyword,Add,Enabled,Campaign,Izmir Cekirdek - Arama,takma tırnak,Phrase match
